=== running parity_transformer ===
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
[parity_transformer] epoch 1/20 loss=0.7056 val={'loss': 0.693, 'token_accuracy': 0.5043, 'sequence_success': 0.0}
[parity_transformer] epoch 2/20 loss=0.6899 val={'loss': 0.6877, 'token_accuracy': 0.5083, 'sequence_success': 0.0}
[parity_transformer] epoch 3/20 loss=0.6877 val={'loss': 0.688, 'token_accuracy': 0.5068, 'sequence_success': 0.0}
[parity_transformer] epoch 4/20 loss=0.6873 val={'loss': 0.688, 'token_accuracy': 0.507, 'sequence_success': 0.0}
[parity_transformer] epoch 5/20 loss=0.6864 val={'loss': 0.6874, 'token_accuracy': 0.5083, 'sequence_success': 0.0}
[parity_transformer] epoch 6/20 loss=0.6845 val={'loss': 0.6812, 'token_accuracy': 0.5078, 'sequence_success': 0.0}
[parity_transformer] epoch 7/20 loss=0.6774 val={'loss': 0.6732, 'token_accuracy': 0.5177, 'sequence_success': 0.0}
[parity_transformer] epoch 8/20 loss=0.6738 val={'loss': 0.6751, 'token_accuracy': 0.5135, 'sequence_success': 0.0}
[parity_transformer] epoch 9/20 loss=0.6746 val={'loss': 0.6729, 'token_accuracy': 0.5215, 'sequence_success': 0.0}
[parity_transformer] epoch 10/20 loss=0.6730 val={'loss': 0.67, 'token_accuracy': 0.5191, 'sequence_success': 0.0}
[parity_transformer] epoch 11/20 loss=0.6681 val={'loss': 0.6667, 'token_accuracy': 0.5236, 'sequence_success': 0.0}
[parity_transformer] epoch 12/20 loss=0.6655 val={'loss': 0.6636, 'token_accuracy': 0.525, 'sequence_success': 0.0}
[parity_transformer] epoch 13/20 loss=0.6619 val={'loss': 0.6592, 'token_accuracy': 0.5262, 'sequence_success': 0.0}
[parity_transformer] epoch 14/20 loss=0.6587 val={'loss': 0.6573, 'token_accuracy': 0.5301, 'sequence_success': 0.0}
[parity_transformer] epoch 15/20 loss=0.6574 val={'loss': 0.6561, 'token_accuracy': 0.5304, 'sequence_success': 0.0}
[parity_transformer] epoch 16/20 loss=0.6561 val={'loss': 0.6545, 'token_accuracy': 0.53, 'sequence_success': 0.0}
[parity_transformer] epoch 17/20 loss=0.6541 val={'loss': 0.6522, 'token_accuracy': 0.5314, 'sequence_success': 0.0}
[parity_transformer] epoch 18/20 loss=0.6519 val={'loss': 0.651, 'token_accuracy': 0.5329, 'sequence_success': 0.0}
[parity_transformer] epoch 19/20 loss=0.6512 val={'loss': 0.6505, 'token_accuracy': 0.5327, 'sequence_success': 0.0}
[parity_transformer] epoch 20/20 loss=0.6511 val={'loss': 0.6504, 'token_accuracy': 0.533, 'sequence_success': 0.0}
=== running parity_s4d ===
[parity_s4d] epoch 1/20 loss=0.6981 val={'loss': 0.6955, 'token_accuracy': 0.5046, 'sequence_success': 0.0}
[parity_s4d] epoch 2/20 loss=0.6938 val={'loss': 0.6931, 'token_accuracy': 0.505, 'sequence_success': 0.0}
[parity_s4d] epoch 3/20 loss=0.6933 val={'loss': 0.6931, 'token_accuracy': 0.5046, 'sequence_success': 0.0}
[parity_s4d] epoch 4/20 loss=0.6932 val={'loss': 0.6931, 'token_accuracy': 0.5046, 'sequence_success': 0.0}
[parity_s4d] epoch 5/20 loss=0.6932 val={'loss': 0.6931, 'token_accuracy': 0.5046, 'sequence_success': 0.0}
[parity_s4d] epoch 6/20 loss=0.6931 val={'loss': 0.6937, 'token_accuracy': 0.5008, 'sequence_success': 0.0}
[parity_s4d] epoch 7/20 loss=0.6931 val={'loss': 0.6933, 'token_accuracy': 0.5012, 'sequence_success': 0.0}
[parity_s4d] epoch 8/20 loss=0.6930 val={'loss': 0.6932, 'token_accuracy': 0.5039, 'sequence_success': 0.0}
[parity_s4d] epoch 9/20 loss=0.6930 val={'loss': 0.6933, 'token_accuracy': 0.5029, 'sequence_success': 0.0}
